,source,target,origin,prediction
174,tesam nityabhiyuktanam yoga-ksemam vahamy aham,teṣāṁ nityābhiyuktānāṁ yoga-kṣemaṁ vahāmy aham,pdf,teṣāṁ nityābhiyuktanaṁ yoga-kṣemaṁ vahamy aham
175,ye 'py anya-devata-bhakta yajante sraddhayanvitah,ye ’py anya-devatā-bhaktā yajante śraddhayānvitāḥ,pdf,ye ’py anya-devata-bhakta yajante śraddhayānvitaḥ
176,te 'pi mam eva kaunteya yajanty avidhi-purvakam,te ’pi mām eva kaunteya yajanty avidhi-pūrvakam,pdf,te ’pi mam eva kaunteya yajanty avidhi-pūrvakam
177,yanti deva-vrata devan pitrn yanti pitr-vratah,yānti deva-vratā devān pitṝn yānti pitṛ-vratāḥ,pdf,yanti deva-vrata devan pitṝn yanti pitṛ-vrataḥ
178,bhutani yanti bhutejya yanti mad-yajino 'pi mam,bhūtāni yānti bhūtejyā yānti mad-yājino ’pi mām,pdf,bhūtāni yanti bhūtejya yanti mad-yajino ’pi mam
180,tad aham bhakty-upahrtam asnami prayatatmanah,tad ahaṁ bhakty-upahṛtam aśnāmi prayatātmanaḥ,pdf,tad ahaṁ bhakty-upahṛtam asnāmi prayatātmanaḥ
181,yat karosi yad asnasi yaj juhosi dadasi yat,yat karoṣi yad aśnāsi yaj juhoṣi dadāsi yat,pdf,yat karoṣi yad asnāsi yaj juhoṣi dadāsi yat
182,yat tapasyasi kaunteya tat kurusva mad-arpanam,yat tapasyasi kaunteya tat kuruṣva mad-arpaṇam,pdf,yat tapasyasi kaunteya tat kuruṣva mad-arpaṇaṁ
183,samo 'ham sarva-bhutesu na me dvesyo 'sti na priyah,samo ’haṁ sarva-bhūteṣu na me dveṣyo ’sti na priyaḥ,pdf,samo ’haṁ sarva-bhūteṣu na me dveṣyo ’sti na priyaḥ
184,ye bhajanti tu mam bhaktya mayi te tesu capy aham,ye bhajanti tu māṁ bhaktyā mayi te teṣu cāpy aham,pdf,ye bhajanti tu maṁ bhaktyā mayi te teṣu capy aham
185,api cet su-duracaro bhajate mam ananya-bhak,api cet su-durācāro bhajate mām ananya-bhāk,pdf,api cet su-durācaro bhajate mam ananya-bhāk
186,sadhur eva sa mantavyah samyag vyavasito hi sah,sādhur eva sa mantavyaḥ samyag vyavasito hi saḥ,pdf,sadhur eva sa mantavyaḥ samyag vyavasito hi saḥ
187,ksipram bhavati dharmatma sasvac-chantim nigacchati,kṣipraṁ bhavati dharmātmā śaśvac-chāntiṁ nigacchati,pdf,kṣipraṁ bhavati dharmātma sasvac-chantiṁ nigacchati
188,kaunteya pratijanthi na me bhaktah pranasyati,kaunteya pratijānīhi na me bhaktaḥ praṇaśyati,pdf,kaunteya pratijanthi na me bhaktaḥ praṇasyati
189,mam hi partha vyapasritya ye 'pi syuh papa-yonayah,māṁ hi pārtha vyapāśritya ye ’pi syuḥ pāpa-yonayaḥ,pdf,maṁ hi pārtha vyapaśritya ye ’pi syuḥ pāpa-yonayaḥ
190,striyo vaisyas tatha sudras te 'pi yanti param gatim,striyo vaiśyās tathā śūdrās te ’pi yānti parāṁ gatim,pdf,striyo vaiṣyas tathā sudras te ’pi yanti paraṁ gatim
191,kim punar brahmanah punya bhakta rajarsayas tatha,kiṁ punar brāhmaṇāḥ puṇyā bhaktā rājarṣayas tathā,pdf,kiṁ punar brahmaṇaḥ punya bhakta rajarṣayas tathā
192,anityam asukham lokam imam prapya bhajasva mam,anityam asukhaṁ lokam imaṁ prāpya bhajasva mām,pdf,anityam asukhaṁ lokam imaṁ prapya bhajasva mam
193,man-mana bhava mad-bhakto mad-yaji mam namaskuru,man-manā bhava mad-bhakto mad-yājī māṁ namaskuru,pdf,man-māna bhava mad-bhakto mad-yaji maṁ namaskuru
194,mam evaisyasi yuktvaivam atmanam mat-parayanah,mām evaiṣyasi yuktvaivam ātmānaṁ mat-parāyaṇaḥ,pdf,mam evaiṣyasi yuktvaivam ātmanaṁ mat-parāyaṇaḥ
195,na me viduh sura-ganah prabhavam na maharsayah,na me viduḥ sura-gaṇāḥ prabhavaṁ na maharṣayaḥ,pdf,na me viduḥ sura-gaṇaḥ prabhavaṁ na maharṣayaḥ
196,aham adir hi devanam maharsinam ca sarvasah,aham ādir hi devānāṁ maharṣīṇāṁ ca sarvaśaḥ,pdf,aham ādir hi devanaṁ maharṣiṇaṁ ca sarvaśaḥ
197,aham sarvasya prabhavo mattah sarvam pravartate,ahaṁ sarvasya prabhavo mattaḥ sarvaṁ pravartate,pdf,ahaṁ sarvasya prabhavo mattaḥ sarvaṁ pravartate
198,iti matva bhajante mam budha bhava-samanvitah,iti matvā bhajante māṁ budhā bhāva-samanvitāḥ,pdf,iti matvā bhajante maṁ budha bhava-samānvitaḥ
199,mac-citta mad-gata-prana bodhayantah parasparam,mac-cittā mad-gata-prāṇā bodhayantaḥ parasparam,pdf,mac-citta mad-gata-praṇa bodhayantaḥ parasparam
200,kathayantas ca mam nityam tusyanti ca ramanti ca,kathayantaś ca māṁ nityaṁ tuṣyanti ca ramanti ca,pdf,kathayantaś ca maṁ nityaṁ tuṣyanti ca ramanti ca
201,tesam satata-yuktanam bhajatam priti-purvakam,teṣāṁ satata-yuktānāṁ bhajatāṁ prīti-pūrvakam,pdf,teṣāṁ satāta-yuktanaṁ bhajataṁ priti-pūrvakam
202,dadami buddhi-yogam tam yena mam upayanti te,dadāmi buddhi-yogaṁ taṁ yena mām upayānti te,pdf,dadāmi buddhi-yogaṁ taṁ yena mam upayanti te
203,tesam evanukampartham aham ajfana-jam tamah,teṣām evānukampārtham aham ajñāna-jaṁ tamaḥ,pdf,teṣām evānukampartham aham ajjana-jaṁ tamaḥ
205,arjuna uvaca,arjuna uvāca,pdf,arjuna uvāca
206,param brahma param dhama pavitram paramam bhavan,paraṁ brahma paraṁ dhāma pavitraṁ paramaṁ bhavān,pdf,paraṁ brahma paraṁ dhāma pavitraṁ paramaṁ bhavān
207,purusam sasvatam divyam adi-devam ajam vibhum,puruṣaṁ śāśvataṁ divyam ādi-devam ajaṁ vibhum,pdf,puruṣaṁ sasvataṁ divyam ādi-devam ajaṁ vibhum
208,ahus tvam rsayah sarve devarsir naradas tatha,āhus tvām ṛṣayaḥ sarve devarṣir nāradas tathā,pdf,ahus tvam ṛṣayaḥ sarve devarṣir naradas tathā
209,asito devalo vyasah svayam caiva bravisi me,asito devalo vyāsaḥ svayaṁ caiva bravīṣi me,pdf,asito devālo vyasaḥ svayaṁ caiva braviṣi me
210,sarvam etad rtam manye yan mam vadasi kesava,sarvam etad ṛtaṁ manye yan māṁ vadasi keśava,pdf,sarvam etad ṛtaṁ manye yan maṁ vadasi keśava
211,na hi te bhagavan vyaktim vidur deva na danavah,na hi te bhagavan vyaktiṁ vidur devā na dānavāḥ,pdf,na hi te bhagavan vyaktiṁ vidur deva na dānavaḥ
212,mrtyuh sarva-haras caham udbhavas ca bhavisyatam,mṛtyuḥ sarva-haraś cāham udbhavaś ca bhaviṣyatām,pdf,mṛtyuḥ sarva-haraś caham udbhavaś ca bhaviṣyatam
213,sarva-yonisu kaunteya murtayah sambhavanti yah,sarva-yoniṣu kaunteya mūrtayaḥ sambhavanti yāḥ,pdf,sarva-yoniṣu kaunteya mūrtayaḥ sambhavanti yaḥ
214,tasam brahma mahad yonir aham bija-pradah pita,tāsāṁ brahma mahad yonir ahaṁ bīja-pradaḥ pitā,pdf,tasāṁ brahma mahād yonir ahaṁ bija-pradaḥ pitā
215,urdhvam gacchanti sattva-stha madhye tisthanti rajasah,ūrdhvaṁ gacchanti sattva-sthā madhye tiṣṭhanti rājasāḥ,pdf,ūrdhvaṁ gacchanti sattva-stha madhye tiṣṭhanti rājasaḥ
216,jaghanya-guna-vrtti-stha adho gacchanti tamasah,jaghanya-guṇa-vṛtti-sthā adho gacchanti tāmasāḥ,pdf,jaghānya-guṇa-vṛtti-stha ādho gacchanti tamasaḥ
217,mam ca yo 'vyabhicarena bhakti-yogena sevate,māṁ ca yo ’vyabhicāreṇa bhakti-yogena sevate,pdf,maṁ ca yo ’vyabhicareṇa bhakti-yogena sevate
218,sa gunan samatityaitan brahma-bhuyaya kalpate,sa guṇān samatītyaitān brahma-bhūyāya kalpate,pdf,sa guṇān samatityaitan brahma-bhūyāya kalpate
219,brahmano hi pratisthaham amrtasyavyayasya ca,brahmaṇo hi pratiṣṭhāham amṛtasyāvyayasya ca,pdf,brahmaṇo hi pratiṣṭhaham amṛtasyavyayasya ca
220,sasvatasya ca dharmasya sukhasyaikantikasya ca,śāśvatasya ca dharmasya sukhasyaikāntikasya ca,pdf,sasvatasya ca dharmasya sukhasyaikantikasya ca
221,sri bhagavan uvaca,śrī-bhagavān uvāca,pdf,śrī bhagavān uvāca
222,urdhva-malam adhah-sakham asvattham prahur avyayam,ūrdhva-mūlam adhaḥ-śākham aśvatthaṁ prāhur avyayam,pdf,ūrdhva-mālām adhaḥ-sakham asvatthaṁ prahur avyayam
223,chandamsi yasya parnani yas tam veda sa veda-vit,chandāṁsi yasya parṇāni yas taṁ veda sa veda-vit,pdf,chandāṁsi yasya parṇani yas taṁ veda sa veda-vit
224,na tad bhasayate suryo na sasanko na pavakah,na tad bhāsayate sūryo na śaśāṅko na pāvakaḥ,pdf,na tad bhaṣayate sūryo na śaśaṅko na pāvakaḥ
225,yad gatva na nivartante tad dhama paramam mama,yad gatvā na nivartante tad dhāma paramaṁ mama,pdf,yad gatvā na nivartante tad dhāma paramaṁ mama
226,mamaivamso jiva-loke jiva-bhutah sanatanah,mamaivāṁśo jīva-loke jīva-bhūtaḥ sanātanaḥ,pdf,mamaivaṁśo jīva-loke jīva-bhūtaḥ sanātanaḥ
227,manah sasthanindriyani prakrti-sthani karsati,manaḥ-ṣaṣṭhānīndriyāṇi prakṛti-sthāni karṣati,pdf,manaḥ sasṭhānindriyāṇi prakṛti-sthāni karṣati
228,sarvasya caham hrdi sannvistho,sarvasya cāhaṁ hṛdi sanniviṣṭo,pdf,sarvasya cahaṁ hṛdi sannviṣṭho
230,vedais ca sarvair aham eva vedyo,vedaiś ca sarvair aham eva vedyo,pdf,vedaiś ca sarvair aham eva vedyo
231,vedanta-krd veda-vid eva caham,vedānta-kṛd veda-vid eva cāham,pdf,vedānta-kṛd veda-vid eva caham
233,sa sarva-vid bhajati mam sarva-bhavena bharata,sa sarva-vid bhajati māṁ sarva-bhāvena bhārata,pdf,sa sarva-vid bhajati maṁ sarva-bhāvena bharata
234,$ri-bhagavan uvaca,śrī-bhagavān uvāca,pdf,śrī-bhagavān uvāca
235,abhayam sattva-samsuddhir jfana-yoga-vyavasthitih,abhayaṁ sattva-saṁśuddhir jñāna-yoga-vyavasthitiḥ,pdf,abhayaṁ sattva-saṁśuddhir jhana-yoga-vyavasthitiḥ
237,ahimsa satyam akrodhas tyagah santir apaisunam,ahiṁsā satyam akrodhas tyāgaḥ śāntir apaiśunam,pdf,ahiṁsa satyam akrodhas tyagaḥ santir apaiṣuṇaṁ
239,tejah ksama dhrtih saucam adroho nati-manita,tejaḥ kṣamā dhṛtiḥ śaucam adroho nāti-mānitā,pdf,tejaḥ kṣama dhṛtiḥ śaucam adroho nati-mānitā
240,bhavanti sampadam daivim abhijatasya bharata,bhavanti sampadaṁ daivīm abhijātasya bhārata,pdf,bhavanti sampadaṁ daivim abhijatasya bharata
241,pravrttim ca nivrttim ca jana na vidur asurah,pravṛttiṁ ca nivṛttiṁ ca janā na vidur āsurāḥ,pdf,pravṛttiṁ ca nivṛttiṁ ca jana na vidur āsuraḥ
242,na saucam napi cacaro na satyam tesu vidyate,na śaucaṁ nāpi cācāro na satyaṁ teṣu vidyate,pdf,na śaucaṁ napi cacaro na satyaṁ teṣu vidyate
243,asatyam apratistham te jagad ahur anisvaram,asatyam apratiṣṭhaṁ te jagad āhur anīśvaram,pdf,asatyam apratiṣṭhaṁ te jagad ahur anīśvaram
244,aparaspara-sambhutam kim anyat kama-haitukam,aparaspara-sambhūtaṁ kim anyat kāma-haitukam,pdf,aparaspara-sambhūtaṁ kim anyat kāma-haitukam
245,etam drstim avastabhya nastatmano 'ipa-buddhayah,etāṁ dṛṣṭim avaṣṭabhya naṣṭātmāno ’lpa-buddhayaḥ,pdf,etaṁ dṛṣṭim avastabhya naṣṭātmano ’ipa-buddhayaḥ
246,prabhavanty ugra-karmanah ksayaya jagato 'hitah,prabhavanty ugra-karmāṇaḥ kṣayāya jagato ’hitāḥ,pdf,prabhāvanty ugra-karmaṇaḥ kṣayayā jagato ’hitaḥ
247,tri-vidham narakasyedam dvaram nasanam atmanah,tri-vidhaṁ narakasyedaṁ dvāraṁ nāśanam ātmanaḥ,pdf,tri-vidhaṁ narakaśyedaṁ dvāraṁ naśanam ātmanaḥ
248,kamah krodhas tatha lobhas tasmad etat trayam tyajet,kāmaḥ krodhas tathā lobhas tasmād etat trayaṁ tyajet,pdf,kamaḥ krodhas tathā lobhas tasmad etat trayaṁ tyajet
249,yah sastra-vidhim utsrjya vartate kama-karatah,yaḥ śāstra-vidhim utsṛjya vartate kāma-kārataḥ,pdf,yaḥ sasṭra-vidhim utsṛjya vartate kāma-karataḥ
250,na sa siddhim avapnoti na sukham na param gatim,na sa siddhim avāpnoti na sukhaṁ na parāṁ gatim,pdf,na sa siddhim avapnoti na sukhaṁ na paraṁ gatim
251,samo damas tapah saucam ksantir arjavam eva ca,śamo damas tapaḥ śaucaṁ kṣāntir ārjavam eva ca,pdf,samo damas tapaḥ śaucaṁ kṣantir arjavam eva ca
252,jmanam vijmanam astikyam brahma-karma svabhava-jam,jñānaṁ vijñānam āstikyaṁ brahma-karma svabhāva-jam,pdf,jmānaṁ vijmānam astikyaṁ brahma-karma svabhāva-jam
253,sauryam tejo dhrtir daksyam yuddhe capy apalayanam,śauryaṁ tejo dhṛtir dākṣyaṁ yuddhe cāpy apalāyanam,pdf,sauryaṁ tejo dhṛtir dakṣyaṁ yuddhe capy apalāyanaṁ
254,danam isvara-bhavas ca ksatram karma svabhava-jam,dānam īśvara-bhāvaś ca kṣātraṁ karma svabhāva-jam,pdf,danam īśvara-bhavaś ca kṣatraṁ karma svabhāva-jam
255,krsi-go-raksya-vanijyam vaisya-karma svabhava-jam,kṛṣi-go-rakṣya-vāṇijyaṁ vaiśya-karma svabhāva-jam,pdf,kṛṣi-go-rakṣya-vanijyaṁ vaiṣya-karma svabhāva-jam
256,paricaryatmakam karma sudrasyapi svabhava-jam,paricaryātmakaṁ karma śūdrasyāpi svabhāva-jam,pdf,paricaryātmakaṁ karma sudrasyapi svabhāva-jam
257,sve sve karmany abhiratah samsiddhim labhate narah,sve sve karmaṇy abhirataḥ saṁsiddhiṁ labhate naraḥ,pdf,sve sve karmaṇy abhirataḥ saṁsiddhiṁ labhate naraḥ
258,sva-karma-niratah siddhim yatha vindati tac chrnu,sva-karma-nirataḥ siddhiṁ yathā vindati tac chṛṇu,pdf,sva-karma-nirataḥ siddhiṁ yathā vindati tac chṛṇu
260,sva-karmana tam abhyarcya siddhim vindati manavah,sva-karmaṇā tam abhyarcya siddhiṁ vindati mānavaḥ,pdf,sva-karmaṇā tam abhyarcya siddhiṁ vindati mānavaḥ
261,brahma-bhutah prasannatma na socati na kanksati,brahma-bhūtaḥ prasannātmā na śocati na kāṅkṣati,pdf,brahma-bhūtaḥ prasannātma na śocati na kāṅkṣati
262,samah sarvesu bhutesu mad-bhaktim labhate param,samaḥ sarveṣu bhūteṣu mad-bhaktiṁ labhate parām,pdf,samaḥ sarveṣu bhūteṣu mad-bhaktiṁ labhate param
263,bhaktya mam abhijanati yavan yas casmi tattvatah,bhaktyā mām abhijānāti yāvān yaś cāsmi tattvataḥ,pdf,bhaktyā mam ābhijanati yavan yaś casmi tattvataḥ
264,tato mam tattvato jmatva visate tad-anantaram,tato māṁ tattvato jñātvā viśate tad-anantaram,pdf,tato maṁ tattvato jmatva viśate tad-anantaram
265,isvarah sarva-bhutanam hrd-dese 'rjuna tisthati,īśvaraḥ sarva-bhūtānāṁ hṛd-deśe ’rjuna tiṣṭhati,pdf,īśvaraḥ sarva-bhūtānaṁ hṛd-deśe ’rjuna tiṣṭhati
266,bhramayan sarva-bhutani yantrarudhani mayaya,bhrāmayan sarva-bhūtāni yantrārūḍhāni māyayā,pdf,bhrāmayan sarva-bhūtāni yantrarudhāni māyāyā
267,iti te jiaanam akhyatam guhyad guhyataram maya,iti te jñānam ākhyātaṁ guhyād guhya-taraṁ mayā,pdf,iti te jiaānam ākhyataṁ guhyad guhyataraṁ mayā
268,vimrsyaitad asesena yathecchasi tatha kuru,vimṛśyaitad aśeṣeṇa yathecchasi tathā kuru,pdf,vimṛṣyaitad aśeṣeṇa yathecchasi tathā kuru
269,man-mana bhava mad-bhakto mad-yaji mam namaskuru,man-manā bhava mad-bhakto mad-yājī māṁ namaskuru,pdf,man-māna bhava mad-bhakto mad-yaji maṁ namaskuru
270,mam evaisyasi satyam te pratijane priyo 'si me,mām evaiṣyasi satyaṁ te pratijāne priyo ’si me,pdf,mam evaiṣyasi satyaṁ te pratijane priyo ’si me
271,sarva-dharman parityajya mam ekam saranam vraja,sarva-dharmān parityajya mām ekaṁ śaraṇaṁ vraja,pdf,sarva-dharman parityajya mam ekaṁ śaraṇaṁ vraja
272,aham tvam sarva-papebhyo moksayisyami ma sucah,ahaṁ tvāṁ sarva-pāpebhyo mokṣayiṣyāmi mā śucaḥ,pdf,ahaṁ tvaṁ sarva-papebhyo mokṣayiṣyāmi mā śucaḥ
273,ya idam paramam guhyam mad-bhaktesv abhidhasyati,ya idaṁ paramaṁ guhyaṁ mad-bhakteṣv abhidhāsyati,pdf,ya idaṁ paramaṁ guhyaṁ mad-bhakteṣv abhidhāsyati
274,bhaktim mayi param krtva mam evaisyaty asamsayah,bhaktiṁ mayi parāṁ kṛtvā mām evaiṣyaty asaṁśayaḥ,pdf,bhaktiṁ mayi paraṁ kṛtvā mam evaiṣyaty aśaṁśayaḥ
275,na ca tasman manusyesu kascin me priya-krttamah,na ca tasmān manuṣyeṣu kaścin me priya-kṛttamaḥ,pdf,na ca tasmān manuṣyeṣu kaścin me priya-kṛttamaḥ
277,arjuna uvaca,arjuna uvāca,pdf,arjuna uvāca
278,nasto mohah smrtir labdha tvat-prasadan mayacyuta,naṣṭo mohaḥ smṛtir labdhā tvat-prasādān mayācyuta,pdf,naṣṭo mohaḥ smṛtir labdha tvat-prasadān mayacyuta
279,sthito 'smi gata-sandehah karisye vacanam tava,sthito ’smi gata-sandehaḥ kariṣye vacanaṁ tava,pdf,sthito ’smi gata-sandehaḥ kariṣye vacanaṁ tava
280,yatra yogesvarah krsno yatra partho dhanur-dharah,yatra yogeśvaraḥ kṛṣṇo yatra pārtho dhanur-dharaḥ,pdf,yatra yogeśvaraḥ kṛṣṇo yatra partho dhanur-dharaḥ
283,bhotabhavyathavatprabiuh,bhūtabhavyabhavatprabhuḥ,website,bhotābhāvyathāvatprabīuḥ
286,poratma paramatma ca mukzinim parama gatih,pūtātmā paramātmā ca muktānāṁ paramā gatiḥ,website,porātma paramātma ca mukiniṁ paramā gatiḥ
287,yaych purussh siket ksetrajfiothsara eva ca,avyayaḥ puruṣaḥ sākṣī kṣetrajñōkṣara eva ca,website,yaycḥ puruṣsḥ śiket kṣetrajījotḥsara eva ca
288,yego yogavidam neta oradhanspurusefvarch,yōgō yōgavidāṁ netā pradhānapuruṣeśvaraḥ,website,yego yogavidaṁ neta oradhanṣpuruṣeīvārcḥ
289,narasimhavapuh &riman kefargh purssottameh,nārasiṁhavapuḥ śrīmān keśavaḥ puruṣōttamaḥ,website,narasiṁhavapuḥ riman kelargḥ purśśottameḥ
295,vifvakarma manustvasta thavisthah sthaviro dhruvah,viśvakarmā manusvtaṣṭā sthaviṣṭhassthavirō dhruvaḥ,website,viīvakarma manuṣṭvasṭa thaviṣṭhaḥ sthaviro dhruvaḥ
297,orabhotastrikekubdhams oavitrem mafealam param,prabhūtastrikakubdhāma pavitraṁ maṁgalaṁ param,website,orabhotāstrikekubdhāṁs oavitreṁ majcalaṁ param
305,visikapirameystma carvayceavinihsrtsh,vṛṣākapirameyātmā sarvayōgaviniḥsṛtaḥ,website,viśikāpirameystma carvaśceaviniḥsṛtsḥ
306,vesurvasumanth satych camatma'sammitah sameh,vasurvasumanāḥ satyaḥ samātmā sammitaḥ samaḥ,website,veṣūrvāsumanīḥ satycḥ camātma’sammitaḥ sameḥ
309,ametah dafvara sthamur vararcho mahatapah,amṛtaḥ śāśvataḥ sthāṇurvarārōhō mahātapāḥ,website,ametaḥ daīvara sthāmur varārcho mahātāpaḥ
311,velo vedavidavyargo vedargo vedavit kavih,vedō vedavidavyaṅgō vedāṅgō vedavit kaviḥ,website,velo vedavidavyargo vedargo vedavit kaviḥ
313,cavuratma carurvyaheh cavurdamstrafcaturthugh,caturātmā caturvyūhaścaturdaṁṣṭraścaturbhujaḥ,website,cāvurātma carurvyaheḥ cavurdaṁstrajcaturthugḥ
314,bhajiernr bhojinam thoes cahsisnurjagedadijeh,bhrājiṣṇurbhōjanaṁ bhōktā sahiṣṇurjagadādijaḥ,website,bhajierṇṛ bhojinam thoeś caḥsiṣṇurjagedādijeḥ
315,magho vijryo fera vigvayonth. punarvasuh,anaghō vijayō jetā viśvayōniḥ punarvasuḥ,website,magho vijṛyo jera vigvayonthu punarvaśuḥ
318,velyo vaidysh sedaycg1 viraha madhavo madhuh,vedyō vaidyaḥ sadāyōgī vīrahā mādhavō madhuḥ,website,velyo vaidysḥ sedaycgī virāha madhavo madhuḥ
325,hiragyanabhah sutapah padmanibhah prajipatih,hiraṇyanābhaḥ sutapāḥ padmanābhaḥ prajāpati:,website,hirāgyānabhaḥ sutapaḥ padmanibhaḥ prajīpatiḥ
326,amztyuh sarvadrh simhah sandhata sandhiman sthirah,amṛtyuḥ sarvadṛk siṁhaḥ sandhātā sandhimān sthiraḥ,website,ammtyuḥ sarvadṛḥ siṁhaḥ sandhata sandhiman sthiraḥ
330,ivartano nivpttatma samvstah sampeamardana},āvartanō nivṛttātmā saṁvṛtaḥ saṁpramardanaḥ,website,ivārtano nivpītātma saṁvstaḥ sampcamardanā
333,catharta sathytah sidhurfanhurnarayago narah,satkartā satkṛtaḥ sādhurjahnurnārāyaṇō naraḥ,website,cathārta sathytaḥ sidhurjanhurṇārayago naraḥ
335,iddharthah siddhasathalpah siddhidah siddhissdhanah.,siddhārthaḥ siddhasaṅkalpaḥ siddhidaḥ siddhisādhanaḥ,website,iddhārthaḥ siddhasathalpaḥ siddhidaḥ siddhissdhānaḥb
337,vardhano vardhamanatca viviktah érutisigacah,vardhanō vardhamānaśca viviktaḥ śrutisāgaraḥ,website,vardhano vardhamānatca viviktaḥ śrutiṣigacaḥ
338,cubhujo durdharo vigmt makendro vasudo vasuh,subhujō durdharō vāgmī mahendrō vasudō vasuḥ,website,cubhujo durdharo vigmī makendro vasudo vasuḥ
339,naikartpo behadrapah fipivistah prakzfanah,naikarūpō bṛhadrūpaḥ śipiviṣṭaḥ prakāśanaḥ,website,naikartpo behadrapah jipiviṣṭaḥ prakcjanaḥ
340,ojestejodyutidharah prakafitma pratipanah,ōjastejōdyutidharaḥ prakāśātmā pratāpanaḥ,website,ojeṣṭejodyutidhāraḥ prakajitma pratipanaḥ
350,udirnah sarvatascaksurantéah sagvatasthirah,udīrṇaḥ sarvataścakṣuranīśaḥ śāśvatasthiraḥ,website,udīrṇaḥ sarvataścakṣuraṇīśaḥ sagvatāsthiraḥ
352,arcismanarcitah kumbho viduddhatma vidodhanah,arciṣmānarcitaḥ kuṁbhō viśuddhātmā viśōdhanaḥ,website,arciṣmanārcitaḥ kumbho viduddhātma vidodhanaḥ
356,kamadevah kamopalah kims ksotab kytigamch,kāmadevaḥ kāmapālaḥ kāmī kāntaḥ kṛtāgamaḥ,website,kamadevaḥ kamopalaḥ kiṁs kṣotab kytigamcḥ
360,mahakramo mahakarma mahatera mahoragah,mahākramō mahākarmā mahātejā mahōragaḥ,website,mahākramo mahākarma mahātera mahoragaḥ
364,manojivastirthakaro vasurera vasupradch,manōjavastīrthakarō vasuretā vasupradaḥ,website,manojivāstīrthakaro vasurera vasupradcḥ
365,vasuprado vasudevo vasurvasumans havih,vasupradō vāsudevō vasurvasumanā haviḥ,website,vasuprado vāsudevo vasurvāsumans haviḥ
377,kamahi kamakpthantal kimah kamapeadah prablhuh,kāmahā kāmakṛt kāntaḥ kāmaḥ kāmapradaḥ prabhuḥ,website,kāmāhi kamakpthantal kimaḥ kamapeadaḥ prabīhuḥ
378,yugidikzdyugivarto naikzmiyo mahifanah,yugādikṛdyugāvartō naikamāyō mahāśanaḥ,website,yugīḍikdyugivarto naikmiyo mahījanaḥ
382,acyutah prathitah pragah peanado vasavanujah,acyutaḥ prathitaḥ prāṇaḥ prāṇadō vāsavānujaḥ,website,acyutaḥ prathitaḥ pragaḥ pcanado vasavānujaḥ
383,pan nidhiradhischanamapeamattah pratischitah,apāṁnidhiradhiṣṭhānamapramattaḥ pratiṣṭhitaḥ,website,pan nidhiradhiśchanamāpeamattaḥ pratiśchitaḥ
384,chandah skandadharo dhuryo varado vayurahanah,skandaḥ skandadharō dhuryō varadō vāyuvāhanaḥ,website,chandaḥ skandadharo dhūryo varado vāyurahanaḥ
385,visudero brhadbhinurididevah purandarah,vāsudevō bṛhadbhānurādidevaḥ purandaraḥ,website,viṣudero bṛhadbhinurididevaḥ puraṇdaraḥ
387,inukalah fatzvartah padmt padmanibheksanah,anukūlaḥ śatāvartaḥ padmī padmanibhekṣaṇaḥ,website,iñukalaḥ latvartaḥ padmī padmanibhekṣaṇaḥ
389,maharddhiripddho veddhitms. makkso grrudadhvajeh,maharddhir ṛddhō vṛddhātmā mahākṣō garuḍadhvajaḥ,website,mahārddhirīpddho veddhitṁss makkṣo gṛrudādhvajeḥ
391,carvalikpapalaksanyo laksmivan samitiffiyah,sarvalakṣaṇalakṣaṇyō lakṣmīvān samitiñjayaḥ,website,carvalikpapalakṣaṇyo lakṣmivān samitijjiyaḥ
392,vikiro rolito margo herurdimodarah sihah,vikṣarō rōhitō mārgō heturdamodarassahaḥ,website,vikiro rolito margo herurdimodaraḥ śihāḥ
395,karagam karagam karta vikarta grhano guhah,karaṇaṁ kāraṇaṁ kartā vikartā gahanō guhaḥ,website,kāragaṁ karagaṁ karta vikarta gṛhaṇo guhāḥ
396,vjavasiyo vyavasthinah samsthanah sthanado dhruvah,vyavasāyō vyavasthānaḥ saṁsthānaḥ sthānadō dhruvaḥ,website,vjavasiyo vyavasthinaḥ saṁsthanaḥ sthanado dhruvaḥ
400,vailunthah purusah prinah pranadah peanavah prthuh,vaikuṇṭhaḥ puruṣaḥ prāṇaḥ prāṇadaḥ praṇavaḥ pṛthuḥ,website,vailunthaḥ puruṣaḥ prīṇaḥ praṇadaḥ pcanavaḥ pṛthuḥ
402,tuh sudarfainah kilah paramestht parigrahah,ṛtuḥ sudarśanaḥ kālaḥ parameṣṭhī parigrahaḥ,website,tuḥ sudarjainaḥ kilaḥ parameṣṭhī parigrahaḥ
405,nalksarranemirnaksatet kyamah ksimah samthanah,"nakṣatranemirnakṣatrī kṣamaḥ, kṣāmaḥ samīhanaḥ",website,nalkṣarraṇemirṇakṣatet kyamaḥ kṣimaḥ samīhanaḥ
411,vatsaro vatsalo vatsi ratnagarbho dhanesvarah,vatsarō vatsalō vatsī ratnagarbhō dhaneśvaraḥ,website,vatsaro vatsalo vatsi ratnagarbho dhaneśvaraḥ
417,éartrabhatabhrdbhckea kapindro bharidaksingh,śarīrabhūtabhṛdbhōktā kapīndrō bhūridakṣiṇaḥ,website,śartrābhātābhṛdbhckea kapindro bharidākṣiṅgḥ
